Rk,Player Name,Nationality,Position,Clubs,Age,Born,Match Played,Starts,Minutes,90s,Goals,Assists,G+A,G-PK,Penalty Kicks,Penalty Kicks attempts,Yellow Cards,Red Cards,Expected Goals,Non Penalty Expected Goals,Expected Assists Goals,npxG+xAG,Progressive Carries,Prograssive Passes,Progressive Passes Rec
460,Jadon Sancho,eng ENG,"FW,MF",Manchester Utd,22,2000,26,21,"1,686",18.7,6,3,9,6,0,0,0,0,4.2,4.2,5,9.2,88,76,173
461,Morgan Sanson,fr FRA,MF,Aston Villa,27,1994,2,0,11,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
462,Pablo Sarabia,es ESP,"FW,MF",Wolves,30,1992,13,9,765,8.5,1,0,1,1,0,0,3,0,3.1,3.1,0.8,3.9,17,41,54
463,Jeremy Sarmiento,ec ECU,MF,Brighton,20,2002,9,1,176,2,0,1,1,0,0,0,1,0,0.3,0.3,0.2,0.5,5,11,20
464,Gianluca Scamacca,it ITA,FW,West Ham,23,1999,16,11,926,10.3,3,0,3,3,0,0,3,0,2.5,2.5,0.7,3.1,13,17,48
465,Gustavo Scarpa,br BRA,"MF,FW",Nott'ham Forest,28,1994,6,2,181,2,0,0,0,0,0,0,1,0,0.3,0.3,0,0.3,9,12,4
466,Kevin Schade,de GER,FW,Brentford,20,2001,18,7,732,8.1,0,1,1,0,0,0,2,0,2.1,2.1,1.1,3.2,24,15,57
467,Fabian Schär,ch SUI,DF,Newcastle Utd,30,1991,36,36,"3,206",35.6,1,3,4,1,0,0,7,0,4.9,4.9,3.3,8.2,27,139,32
468,Jeffrey Schlupp,gh GHA,"MF,FW",Crystal Palace,29,1992,34,30,"2,531",28.1,3,1,4,3,0,0,7,0,3.2,3.2,1.4,4.6,32,98,67
469,Nélson Semedo,pt POR,DF,Wolves,28,1993,36,31,"2,632",29.2,0,1,1,0,0,0,11,1,0.4,0.4,0.7,1.2,50,110,147
470,Antoine Semenyo,gh GHA,"FW,MF",Bournemouth,22,2000,11,2,258,2.9,1,0,1,1,0,0,0,0,0.3,0.3,0.1,0.4,5,5,11
471,Marcos Senesi,ar ARG,DF,Bournemouth,25,1997,31,29,"2,491",27.7,2,0,2,2,0,0,7,0,1.6,1.6,0.5,2.1,9,66,3
472,Ryan Sessegnon,eng ENG,DF,Tottenham,22,2000,17,9,813,9,2,0,2,2,0,0,4,0,1.6,1.6,1.1,2.7,24,22,64
473,Luke Shaw,eng ENG,DF,Manchester Utd,27,1995,31,30,"2,552",28.4,1,2,3,1,0,0,8,0,1.1,1.1,3.6,4.7,53,140,76
